BR,WC,Furni,Area,DistToCenter,TimeToCenter,Price,WCdummy
2,2,0,80,10.4,43,9,1
2,2,1,80,10.4,43,12,1
3,2,1,120,10.4,43,16,1
2,2,0,75,10.4,43,12,1
2,2,1,75,10.4,43,13.5,1
3,2,0,120,10.4,43,13,1
3,2,1,120,10.4,43,17.5,1
4,2,0,160,10.4,43,17.5,1
4,2,1,160,10.4,43,23,1
2,1,0,86,9.3,37,10,0
2,2,0,85,9.3,37,12,1
2,2,1,86,9.3,37,15,1
3,2,0,110,9.3,37,15,1
3,2,1,110,9.3,37,18,1
1,1,1,43,10.6,32,14,0
2,1,1,80,10.6,32,15.5,0
2,2,1,97,10.6,32,21.5,1
3,2,0,136,10.6,32,20.5,1
2,2,1,120,2.2,10,40,1
2,2,1,130,2.2,10,28,1
1,1,0,45,10.2,39,9,0
1,1,1,45,10.2,39,12,0
2,1,0,62,10.2,39,11.5,0
2,1,1,62,10.2,39,13.5,0
2,2,0,72,10.2,39,13.5,1
2,2,1,72,10.2,39,15.5,1
3,2,0,90,10.2,39,16,1
3,2,1,90,10.2,39,19,1
3,2,0,110,10.2,39,17,1
3,2,1,110,10.2,39,21,1
1,1,0,53,4.8,17,8.5,0
1,1,1,53,4.8,17,9.5,0
2,2,0,90,4.8,17,10.5,1
2,2,1,108,4.8,17,14,1
3,2,0,120,4.8,17,14,1
3,2,0,110,4.8,17,13.5,1
4,3,0,154,4.8,17,20,1
4,3,1,160,4.8,17,22,1
2,2,1,76,4.1,16,15,1
2,1,1,60,4.1,16,12,0
2,2,1,86,9.2,33,9,1
3,2,1,120,9.2,33,16,1
1,1,0,55.8,5,25,19,0
1,1,1,55.8,5,25,23,0
2,1,0,73,5,25,21,0
2,1,1,73,5,25,24,0
2,2,0,82,5,25,22,1
2,2,1,82,5,25,27,1
3,2,0,110,5,25,30,1
3,2,1,110,5,25,36,1
3,2,0,129,5,25,33,1
3,2,1,129,5,25,45,1
4,3,0,146,5,25,45,1
4,3,1,146,5,25,55,1
2,2,1,90,4.5,21,13,1
2,2,1,123,4.5,21,18,1
3,2,1,110,4.5,21,20,1
3,2,1,170,4.5,21,35,1
3,2,0,125,3.7,18,20,1
3,2,1,115,3.7,18,22,1
1,1,0,55,3.7,18,12,0
1,1,1,58,3.7,18,16,0
2,1,0,76,3.7,18,15,0
2,2,1,90,3.7,18,22,1
3,3,1,154,4.8,21,40,1
3,3,1,128,4.8,21,38,1
2,2,1,102,6.9,28,16,1
2,2,1,112,6.9,28,18,1
3,3,1,145,6.9,28,17,1
3,2,1,145,6.9,28,31,1
3,2,1,171,6.1,27,22,1
2,2,0,90,6.1,27,10,1
2,2,1,130,6.1,27,15,1
2,2,1,74,6.1,27,12,1
3,2,1,180,6.1,27,22,1
1,1,0,46,5.6,25,12,0
1,1,1,46,5.6,25,14,0
1,1,0,56,5.6,25,12.5,0
1,1,1,56,5.6,25,15,0
2,2,0,75,5.6,25,15,1
2,2,1,75,5.6,25,19,1
3,2,0,88,5.6,25,17,1
3,2,1,88,5.6,25,22,1
3,2,0,95,5.6,25,18,1
3,2,1,95,5.6,25,22,1
1,1,0,55,7.9,24,11.5,0
1,1,1,55,7.9,24,14.25,0
2,1,0,69,7.9,24,14,0
2,1,1,69,7.9,24,17,0
2,2,0,82,7.9,24,16,1
2,2,1,82,7.9,24,19,1
3,2,0,115,7.9,24,18,1
3,2,1,115,7.9,24,27,1
